Query,Clicks,Impressions,CTR_Percent,Position
"window cleaning perth",5,1680,0.3,14.12
"solar panel cleaning perth",1,556,0.18,43.75
"commercial window cleaning perth",0,394,0,26.15
"window cleaners perth",0,381,0,26.18
"window cleaning service",0,353,0,6.29
"window cleaning services perth",0,302,0,22.73
"window cleaning near me",0,299,0,13.64
"perth window cleaning",0,254,0,21.11
"residential window cleaning perth",1,245,0.41,15.72
"window cleaning",2,243,0.82,13.56
"commercial window cleaners perth",0,224,0,26.13
"residential window cleaning",0,212,0,11.98
"pressure washing perth",0,204,0,54.38
"window cleaning doncaster",0,198,0,46.05
"window cleaning armadale",0,191,0,32.96
"window cleaning services",0,190,0,17.74
"window cleaner near me",0,184,0,11.05
"office window cleaning perth",0,181,0,20.57
"aspect window cleaning",48,176,27.27,1.77
"window cleaner perth",0,150,0,15.42
"window cleaners",0,145,0,26.33
"perth solar panel cleaning",0,138,0,51.07
"strata window cleaning perth",0,125,0,10.66
"curtain cleaning beechboro",0,125,0,46.68
"solar panel cleaning",0,123,0,87.47
"curtain cleaning rossmoyne",0,117,0,38.1
"window cleaning company",0,116,0,25.08
"window cleaner",1,113,0.88,2.35
"window cleaners near me",1,103,0.97,16.98
"pressure cleaning perth",0,103,0,56.91
"commercial window cleaning",0,101,0,1.13
"downpipe cleaning perth",0,98,0,28.9
"window cleaning west perth",0,89,0,26.35
"highrise window cleaning near me",0,88,0,4.7
"window cleaning fremantle",0,87,0,21.71
"clean solar panels perth",0,87,0,53.26
"gutter and window cleaning perth",0,85,0,31.2
"window cleaners doncaster",0,82,0,57.49
"curtain cleaning attadale",0,80,0,37.34
"window cleaning applecross",0,79,0,17.65
"aspectwindowcleaning.com.au",0,79,0,31.99
"highrise window cleaner near me",0,78,0,10.13
"driveway pressure cleaning perth",0,78,0,45.86
"roof gutter cleaning perth",0,75,0,51.97
"gutter and downpipe cleaning perth",0,70,0,45.31
"domestic window cleaners",0,69,0,27.07
"window cleaning kilsyth",0,68,0,29.87
"curtain cleaning balcatta",0,67,0,68.75
"window cleaning cottesloe",0,65,0,4.2
"commercial window cleaners near me",0,65,0,16.29
"gosnells solar panel cleaning",0,65,0,77.97
"window cleaning marion",0,61,0,39.08
"window cleaners kew",0,60,0,76.27
"window cleaning peppermint grove",0,58,0,14.26
"apex window cleaning",0,58,0,36.66
"driveway cleaning perth",0,58,0,51.14
"window cleaners nedland",0,57,0,1
"window cleaners armadale",0,57,0,46.25
"perth window cleaners",0,55,0,29.27
"window cleaning hampton",0,55,0,55.47
"gutter cleaning perth",0,52,0,56.44
"canning vale solar panel cleaning",0,51,0,62.59
"window cleaning joondalup",0,49,0,28.9
"willetton solar panel cleaning",0,49,0,72.78
"commercial window cleaning service near me",0,48,0,13.33
"solar panels sinagra",0,48,0,21.06
"highrise window cleaning fremantle",0,48,0,33.75
"window cleaning morley",0,48,0,42.75
"high rise window cleaning near me",0,46,0,5.76
"window cleaning nedlands",0,44,0,2.25
"house window cleaners",0,44,0,28.34
"attadale gutter repairs",0,43,0,24.28
"commercial window cleaning services near me",0,42,0,16.4
"body corporate window cleaning",0,42,0,85.19
"window cleaners nedlands",0,41,0,2.56
"high rise window cleaner near me",0,40,0,5.72
"perth window cleaning services",0,40,0,22.95
