Keyword,Volume,CPC,Competition,Difficulty,Intent
"window cleaning commercial",390,12.38,0.53,17,"Info"
"commercial window cleaning",390,12.38,0.53,0,"Comm"
"perth commercial cleaning services",90,22.15,0.43,16,"Comm"
"commercial cleaning company rates",140,8.03,0.47,0,"Comm"
"commercial cleaning company",390,14.13,0.36,16,"Comm"
"commercial window cleaning perth",30,11.43,0.48,26,"Comm"
"window cleaning services commercial",50,3.54,0.15,0,"Comm"
"commercial cleaning services",1600,30.29,0.2,24,"Comm"
"commercial cleaning business",210,11.48,0.49,0,"Comm"
"commercial window cleaning service",50,3.54,0.15,0,"Comm"
"cleaning business",880,6.24,0.51,1,"Comm"
"commercial office cleaning",140,27.56,0.75,12,"Comm"
"perth house cleaners",358,11.6,0.73,9,"Comm"
"cleaners in perth",246,18.15,0.92,3,"Comm"
"gutter cleaning perth",1220,12.23,0.77,6,"Comm"
"office cleaning perth",3317,45.23,0.09,24,"Comm"
"cleaning perth",246,18.15,0.92,1,"Comm"
"commercial cleaning perth",1595,32.87,0.26,6,"Comm"
"window cleaning perth",513,8.03,0.72,24,"Comm"
"vacate clean perth",787,13.39,0.6,8,"Nav"
